Gender Statistics	Calculus	Algebra	Weight	Height
1	7.1	7.4	8.9	81.4	178
1	6.1	7.1	8.2	84.1	185
1	5.6	7.1	8.3	60.3	172
1	5.2	6.6	7.4	65.9	175
1	4.4	6	7.1	72.8	176
1	6.2	7	8.7	79.5	181
1	5.7	6.7	8	91.7	183
1	6.3	7.2	8.1	74.7	194
1	4.4	5.1	7.9	93.3	176
1	7.4	8.1	8.4	83.9	168
1	6.5	7.7	8	92.3	175
1	4.3	5.5	7.4	79.7	171
1	7.2	7.3	8.4	70.3	172
1	5.4	6.8	7.4	60.3	170
1	6.3	6.8	8.3	80	177
1	6.2	6.6	8.1	88	184
1	5	6.6	8	74.6	178
1	2.9	4.7	7	71.7	180
1	6.6	7.8	8.4	74.4	187
1	5.6	6.4	8	65	180
1	5.3	6.4	7.8	72.2	167
1	6.5	7.4	8.5	76	162
1	5.2	6.7	8.1	78.7	183
1	6.7	7.6	8.2	77.4	165
1	6.2	7.2	8.6	85.5	180
1	4.9	6.2	7.8	79.5	178
1	6.9	7.4	8.5	100	200
1	6.5	7.5	8.8	81.9	178
1	7.4	7.8	9.1	99.8	182
1	5	6.5	7.9	69.5	176
1	5	6.7	7.6	84.5	181
1	6.3	6.5	8.2	75	177
1	6.7	8	8	85.4	176
1	6.9	7.4	9	85.3	172
1	6	7.4	7.2	51.9	170
1	5.7	7.3	7.5	62.2	163
1	6.7	7	8.4	60.8	164
1	8.1	8.5	8.8	83	188
1	7	8.7	7.4	95.8	181
1	6.1	7	8.2	74.2	175
1	5.4	6.7	7.9	87.9	187
1	6.5	7.5	7.9	84.7	178
1	5.5	7	7.6	65.5	179
1	6.3	7.5	7.6	82.9	177
1	6.8	7.3	9	69.1	180
1	7	7.5	8.6	96.4	188
1	6.6	7.5	8.1	77.8	176
1	7.5	8	8.3	97.8	179
1	8	9.1	8.5	73	169
1	3.9	5.8	7.7	85.2	178
1	4.1	5.9	7.3	77.4	174
1	5	6.1	7.8	53.8	166
1	3.8	5.2	7	66.3	179
1	5.6	7	7.8	85.5	178
1	5.6	6.7	8.1	77.5	184
1	6.3	7.4	7.6	64.7	169
1	6.3	6.9	8.6	70.6	181
1	5.3	6.8	8.4	81.1	175
1	5.1	5.9	7.4	66.2	174
1	6.9	8.1	7.5	89.9	188
1	5.6	7	7.7	70.4	172
1	4.5	6	7.7	99.9	183
1	6	6.6	8.1	65.2	185
1	6.2	7	8.1	80.5	184
1	5.6	6.8	7.8	59.9	168
1	6.7	7.9	7.8	69.5	178
1	6.2	6.8	7.7	71	172
1	5.8	7.2	8.3	83	184
1	6	7.8	7.7	89.5	190
1	6.5	7.2	7.9	81.8	168
1	5.5	6.8	8.1	73.7	182
1	4.9	6	7.2	88	190
1	5.8	6.4	8.1	87.8	181
1	6.1	7.5	8.1	79.6	189
1	6.6	7.6	7.9	85	181
1	6	6.8	7.9	83.1	171
1	5.5	6.7	7.8	66.3	159
1	6.6	7.4	8.9	87.3	179
1	5.9	6.5	8.3	70.3	179
1	6.9	6.7	8.6	70.9	177
1	5.9	6.9	7.9	80.3	181
1	6	6.9	8	74.5	172
1	5.9	6.8	8.4	76.6	178
1	5	6.1	7.6	85.3	170
1	5	5.8	7.6	90.7	177
1	5	6.1	7.7	75.8	171
1	7.9	8.3	8.7	82.1	182
1	5.8	6.5	8.3	75.3	176
1	7	7.8	8.6	80.9	171
1	6.4	7.2	8.5	83.4	179
1	8	8.3	9	70.7	170
1	7	7.2	8.8	81.5	174
1	4.7	5.9	8.2	85.4	185
1	5.6	6.9	7.4	79.3	178
1	7	7.4	8.4	98.9	188
1	6.3	7.3	7.6	70.8	180
1	8.5	9.2	9	69.3	175
1	5.9	7.2	7.9	57.1	173
1	4.3	6.2	7.1	89.1	186
1	6.5	8	7.4	88.6	189
2	7.2	7.5	8.5	65.3	178
2	6.6	7	8.5	74.6	171
2	5	6.8	6.8	60.8	171
2	7.8	8	8.3	60.1	163
2	5.7	6.5	7.7	77.5	170
2	5.6	6.2	7.4	55.5	167
2	4.9	6.3	7.6	60.6	168
2	6.2	7	8.1	69.7	162
2	6.2	7	8.2	62.1	157
2	6	7.2	8	74.6	164
2	5.5	6.7	7.3	70.9	161
2	4.7	6.1	6.8	63.5	166
2	9.3	8.6	9.5	52.9	160
2	7.8	8.4	8.7	66.2	165
2	5.9	7.2	7.8	46.9	152
2	6.2	7.2	8.1	63	170
2	6.7	7.8	8.4	68.6	170
2	6.3	8	7.4	62.7	165
2	5.7	7.2	7.8	69.3	174
2	7.2	7.4	8.4	80.9	167
2	5.2	5.9	7.9	69.8	171
2	8.2	8.6	7.9	63.3	168
2	4.6	5.4	8	67	169
2	6	6.8	7	64.8	162
2	7.2	8.3	7.9	47.5	162
2	6.4	7	7.8	56.5	160
2	4.8	5.8	6.9	72.8	164
2	7.2	7.7	8.3	60.2	158
2	6.5	7.5	7.8	66.4	173
2	5.5	6.9	7.9	50.6	156
2	6.7	7.4	8	61.2	164
2	7	7.6	8.4	66.6	160
2	8.5	9.2	8.4	47.1	158
2	6.2	7.3	8.2	64.1	148
2	6	7.1	8.1	58.8	158
2	5.8	8	6.9	51.3	153
2	4.4	5.6	7.2	60.2	159
2	6.8	7.7	8.7	41.7	157
2	4.3	5.4	7	39.4	155
2	6	7.1	7.9	48.9	172
2	6	6.7	7.5	50.8	158
2	7.1	8.2	7.5	48.9	159
2	3.6	5.6	6.8	43.4	150
2	7.2	7.9	8.4	63.5	163
2	5.8	6.7	8.1	44.7	152
2	5	5.8	7.2	61.7	165
2	6.3	6.9	8.3	68.4	173
2	6.5	6.6	8.3	60.6	167
2	5.9	6.7	7.7	61.5	161
2	4.9	5.6	8.2	56.8	154
2	7.5	8.6	8.5	45.9	168
2	6.5	7.3	6.9	60.2	176
2	5.6	6.6	7.7	70.2	169
2	7.5	8.6	7.5	77.9	166
2	6.7	6.7	8.2	56.3	170
2	5.1	6.2	7	44.4	156
2	6.9	7.2	8.9	62.3	163
2	4.5	5.4	7.9	64.3	171
2	5.3	6.4	7.6	58.3	156
2	6.4	7.6	7.9	49.2	150
2	6.7	7.1	8.3	80.7	175
2	6.4	7.4	8	37.1	159
2	4.4	6.2	6.9	55.5	164
2	7.1	7.4	8.2	47.5	163
2	7.5	7.7	8.7	54.3	169
2	7.4	8	8.1	63.8	172
2	5.7	6.9	7.3	62	162
2	5.9	6.8	7.6	53.5	167
2	5.3	6	7.6	68.3	169
2	6.5	7.3	7.9	66.8	164
2	6.5	7.4	8.9	67	160
2	5.5	6.3	7.1	56.4	167
2	7.2	7.4	7.9	71	167
2	7.1	8	8.1	67.2	168
2	6.9	7.6	8	85.5	169
2	5.6	6.3	7.3	71.2	160
2	5	5.8	7.6	72.1	170
2	6.9	7.4	8.5	61.1	165
2	7.7	7.9	8	47.8	167
2	5	5.6	7.4	56.9	168
2	4.1	5.9	6.2	53.1	168
2	7.7	8.1	8.4	55	159
2	6.2	6.3	8.2	66.1	162
2	7.5	7.8	8.6	55.1	156
2	7.3	8.3	7.4	51.7	165
2	5.1	5.9	7.6	56.5	179
2	5.9	7.5	7.2	59	169
2	5.5	6.1	8.3	64.7	162
2	6.5	6.9	8.2	51.1	166
2	7.4	7.6	8.2	63.8	160
2	6.4	7.6	7.5	61.4	157
2	4.2	5.2	7	73.8	174
2	7.5	8.3	8.7	58.5	160
2	6.3	6.4	8	59.3	166
2	5.8	6.5	7.1	49	169
2	4.2	5.7	6.9	46.8	162
2	6.7	6.9	8.7	63.7	171
2	6.5	7.3	8.2	58.1	155
2	6.6	7.6	7.9	65.6	171
2	5.2	7	7.8	51.7	174
